EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20200213225402;-19.863314;-43.935623;30548;0;7081;0;0;0
105;20200213225533;-19.881286;-43.938369;10933;0;585;0;2;20853
105;20200213225531;-19.837145;-43.987422;10858;26;6898;173;1;11674
105;20200213225530;-19.909743;-43.930906;11147;35;585;280;2;12834
105;20200213225523;-19.915902;-43.953013;40316;43;366;309;1;17695
105;20200213225531;-19.851524;-43.913004;11033;22;305;38;1;20530
105;20200213225529;-19.947796;-43.938157;30705;25;6;194;1;7846
105;20200213225529;-19.884381;-43.973262;11068;46;394;288;2;9916
105;20200213225531;-19.872408;-43.938343;20308;0;703;124;1;16719
105;20200213225354;-19.870330;-44.009749;40837;0;307;0;0;995
105;20200213225532;-19.926266;-43.930678;30721;30;238;70;1;21290
105;20200213225531;-19.924093;-43.939537;40506;22;4514;94;1;14891
105;20200213225527;-19.871537;-43.903348;10013;20;763;179;0;4943
105;20200213225400;-19.822664;-43.946633;20566;0;4661;72;1;36249
105;20200213225528;-19.863341;-43.935759;30592;0;541;0;0;9684
105;20200213225530;-19.975616;-44.013500;30724;9;922;82;1;1539
105;20200213225533;-20.020293;-44.028906;30866;0;987;0;0;6770
105;20200213225356;-19.885379;-43.979235;11069;0;348;0;0;3688
105;20200213225525;-19.953358;-43.969988;30502;1;109;48;0;2144
105;20200213225534;-19.924534;-43.926832;40826;0;899;75;1;16694
105;20200213225539;-19.905529;-43.932127;10951;14;749;189;1;6373
105;20200213225530;-19.935416;-43.922508;40651;0;1312;0;1;4204
105;20200213225524;-19.953216;-43.975287;30267;14;3405;153;1;16518
105;20200213225526;-19.851710;-43.927104;20925;0;68;0;0;4277
105;20200213225531;-19.900770;-43.946074;40710;24;3399;154;2;2734
105;20200213225534;-19.938840;-43.926614;40834;12;870;147;1;4012
105;20200213225531;-20.020382;-44.028927;10350;0;264;0;0;4359
105;20200213225533;-19.796487;-44.011217;10023;0;5574;156;0;3334
105;20200213225531;-19.959311;-43.989340;30235;18;5632;333;1;18845
105;20200213225530;-19.898863;-43.892136;31012;21;660;31;1;1322
105;20200213225402;-19.885843;-43.980229;40692;0;723;0;0;9023
105;20200213225401;-19.863917;-43.921137;20677;0;579;0;0;3217
105;20200213225533;-19.924137;-43.926505;10659;0;727;0;1;10878
105;20200213225359;-19.966743;-43.992716;10776;1;5620;273;1;18760
105;20200213225528;-19.833837;-43.889809;20580;23;5477;206;1;15412
105;20200213225530;-19.863600;-43.935435;30422;2;7079;188;0;11986
105;20200213225532;-19.881598;-43.956179;30966;48;5286;68;1;21304
105;20200213225513;-19.962084;-43.989131;30954;0;1115;0;0;5562
105;20200213225532;-19.962971;-43.987583;30205;0;1066;0;0;2749
105;20200213225402;-19.800911;-43.977913;10874;0;5584;0
105;20200213225509;-19.876371;-43.906041;10660;0;636;0
105;20200213225535;-19.803197;-43.993172;10595;23;505;271;1;3062
105;20200213225531;-20.020689;-44.029167;10525;0;911;199;0;5103
105;20200213225531;-19.906245;-44.016969;40312;0;890;0;0;2656
105;20200213225404;-19.807179;-43.980159;10781;0;3740;0
105;20200213225348;-19.801089;-43.978346;10339;0;5623;0;0;5453
105;20200213225535;-19.826354;-43.936681;10489;22;6902;193;1;14892
105;20200213225529;-19.925678;-43.972136;40463;18;872;38;1;15047
105;20200213225400;-19.801011;-43.978095;10677;0;3740;0
105;20200213225532;-19.942500;-43.998743;30365;0;100;0;2;21493
105;20200213225403;-19.795870;-44.011415;10700;0;4661;55;0;9313
105;20200213225533;-19.866312;-43.988600;40574;0;5700;0;2;23199
105;20200213225531;-19.976101;-44.015973;30444;0;268;0;1;7421
105;20200213225545;-19.870782;-44.010188;40791;0;326;0;0;2893
105;20200213225533;-19.927240;-43.953307;40768;30;684;239;1;9754
105;20200213225530;-19.797341;-44.012102;30538;0;5602;0;0;5024
105;20200213225348;-19.874519;-43.909637;10326;0;6039;0;0;6255
105;20200213225535;-19.864371;-43.928909;20521;0;4514;0;1;6463
105;20200213225534;-19.874030;-43.977033;10780;15;550;180;1;10853
105;20200213225529;-19.862759;-43.921065;20465;0;5538;0;0;2217
105;20200213225401;-19.884785;-43.980188;40822;0;5979;0
105;20200213225530;-19.949127;-43.919732;40824;24;5979;19;1;13340
105;20200213225534;-19.876468;-43.896891;20437;13;639;243;0;1355
105;20200213225551;-19.973083;-44.001410;30468;33;7419;215;1;18162
105;20200213225533;-19.924110;-43.919542;20628;0;716;0;1;12289
105;20200213225531;-19.947082;-43.923397;31006;20;109;335;1;12052
105;20200213225359;-19.863448;-43.921178;20910;0;703;0;0;2420
105;20200213225357;-19.876280;-43.906809;20373;0;1310;0
105;20200213225532;-19.852045;-43.927811;20889;0;68;0;0;3953
105;20200213225402;-19.994653;-44.023691;10349;5;232;69;1;6803
105;20200213225405;-19.876611;-43.906200;10658;0;821;0;0;6375
105;20200213225532;-19.898001;-43.946580;10482;34;606;181;1;18174
105;20200213225400;-19.885599;-43.980317;40711;0;3409;0;0;6393
105;20200213225402;-19.876572;-43.907255;10398;0;734;0;0;9604
105;20200213225531;-19.932784;-43.947966;30495;23;90;196;2;7842
105;20200213225359;-19.919628;-43.995818;30900;0;597;0;0;14458
105;20200213225531;-19.951866;-43.960563;30974;40;643;334;2;8325
105;20200213225542;-19.962239;-43.989883;31025;0;1066;192;0;12533
105;20200213225403;-19.863160;-43.921217;20830;0;580;0;0;14415
105;20200213225533;-19.863724;-43.927661;20397;0;1623;97;1;9557
105;20200213225402;-19.920075;-43.995789;20651;0;2374;0;0;6080
105;20200213225530;-19.917569;-43.994752;40756;0;749;91;0;5592
105;20200213225536;-19.902365;-43.890078;40342;0;655;0;2;17383
105;20200213225526;-19.800624;-43.978518;10332;0;1918;0;0;1583
105;20200213225400;-19.851551;-43.927475;20878;0;844;0;0;1615
105;20200213225354;-19.874486;-43.909699;20868;0;677;0;0;16158
105;20200213225530;-19.797360;-44.011924;10605;0;768;0;0;6577
105;20200213225522;-19.962887;-43.987868;30187;0;4074;0;0;7035
105;20200213225532;-19.916771;-43.939977;10230;1;734;352;2;4477
105;20200213225405;-19.885690;-43.980328;40433;0;594;90
105;20200213225531;-19.919259;-43.888606;20659;0;614;0;0;2747
105;20200213225530;-19.942345;-43.964628;31007;0;105;0;2;8772
105;20200213225532;-19.875062;-43.908489;20758;0;4614;0;0;14182
105;20200213225519;-19.962142;-43.989150;30886;0;1115;0;0;5317
105;20200213225355;-19.864097;-43.894548;20687;0;407;0;0;1095
105;20200213225332;-19.910557;-43.895700;20313;39;614;76;1;23824
105;20200213225531;-20.020542;-44.028843;30343;0;4021;0;0;6839
105;20200213225534;-19.927881;-43.881495;10360;4;772;324;1;23638
105;20200213225533;-19.932334;-43.946432;20747;1;614;196;1;9475
105;20200213225407;-19.853537;-43.952200;40325;0;1248;0;1;14384
105;20200213225531;-19.846858;-43.882971;10363;30;6039;179;1;9465
105;20200213225402;-19.800841;-43.978649;11133;0;7398;0
105;20200213225534;-19.809262;-43.969816;10688;0;1918;0;1;10928
105;20200213225355;-19.868648;-44.014767;30518;1;357;343;1;32249
105;20200213225320;-19.875249;-43.908396;10542;0;619;0;0;3826
105;20200213225529;-19.968264;-43.988016;40772;34;7119;332;1;29604
105;20200213225404;-19.874125;-43.909408;10126;0;763;0;0;6289
105;20200213225404;-19.979648;-43.966154;10909;0;599;0;1;17266
105;20200213225527;-19.870823;-44.010522;40269;0;872;0;0;10205
105;20200213225400;-19.876896;-43.922424;20705;0;588;0;1;20644
105;20200213225533;-19.991239;-44.015376;30469;40;245;247;1;26755
105;20200213225435;-19.874467;-43.909851;20733;0;639;0;0;3121
105;20200213225534;-19.813288;-44.004347;10421;22;5584;32;1;13397
105;20200213225535;-19.863492;-43.926637;20426;0;849;113;1;15899
105;20200213225432;-19.975448;-44.012817;30717;0;1115;0;1;1311
105;20200213225356;-19.874034;-43.909831;10014;0;5541;0;0;5905
105;20200213225533;-19.945384;-43.934530;20183;60;565;14;2;5647
105;20200213225531;-19.906192;-43.963770;20564;0;4661;298;1;17845
105;20200213225534;-19.815463;-44.016101;20250;0;299;0;1;39709
105;20200213225533;-19.873838;-43.909599;10319;0;565;73;0;3627
105;20200213225530;-19.838161;-43.936885;30649;0;3740;0;0;5557
105;20200213225534;-19.905313;-43.944094;10804;35;402;319;2;10303
105;20200213225529;-19.876644;-43.977067;40474;34;309;186;1;5505
105;20200213225531;-19.909231;-43.942222;30611;47;5620;314;2;10951
105;20200213225336;-19.925265;-43.949553;30352;35;5632;60;1;8782
105;20200213225534;-19.894490;-43.926562;40348;36;409;50;1;20088
105;20200213225533;-19.819373;-43.977590;10873;15;7044;268;1;4243
105;20200213225536;-20.004781;-44.044478;40216;10;234;158;1;3003
105;20200213225534;-19.896181;-43.912008;30371;30;565;346;2;13352
105;20200213225534;-19.801049;-43.978665;10681;0;541;0;1;9204
105;20200213225534;-19.870985;-44.010725;40845;0;288;0;0;443
105;20200213225534;-19.784200;-43.973208;10682;15;1918;333;1;5426
105;20200213225534;-19.992585;-44.020326;30208;7;238;75;1;464
105;20200213225534;-19.955365;-43.997295;30238;19;84;35;1;2345
105;20200213225536;-19.885082;-43.979823;10159;0;3635;0;0;14125
105;20200213225335;-19.864060;-43.927683;20434;1;853;96;1;10739
105;20200213225533;-19.928920;-43.956042;30428;41;5630;59;1;7896
105;20200213225534;-19.933734;-43.971708;20323;21;3382;346;2;1330
105;20200213225535;-19.859949;-43.918844;5752;34;1633;147;1;9311
105;20200213225534;-19.946673;-43.984506;30209;33;1066;13;1;5346
105;20200213225529;-19.999699;-43.964287;30965;20;5713;35;1;28591
105;20200213225534;-19.988229;-44.035018;30571;0;936;0;0;2516
105;20200213225535;-19.958186;-44.009657;30404;38;3995;77;1;4128
105;20200213225532;-20.002879;-44.025781;30164;0;3995;0;0;4950
105;20200213225403;-19.919846;-43.996657;40769;0;100;0;0;6164
105;20200213225534;-19.964169;-43.963611;30482;0;33;0;0;6276
105;20200213225532;-19.918555;-43.935104;20735;13;617;189;1;3617
105;20200213225532;-19.796788;-44.011406;11148;0;490;0;0;5410
105;20200213225334;-20.026072;-44.029457;30349;31;1022;315;1;7954
105;20200213225402;-20.002901;-44.025557;30726;0;3999;0;0;4986
105;20200213225402;-20.003464;-44.025398;30532;0;3999;0;0;5096
105;20200213225534;-19.861027;-43.925102;20673;53;68;57;1;16846
105;20200213225533;-19.843957;-43.900968;20642;20;1631;103;1;11522
105;20200213225305;-19.973750;-44.020526;30461;2;915;355;1;11056
105;20200213225536;-19.863978;-43.921024;20815;0;3636;0
105;20200213225526;-19.962200;-43.989800;30546;1;5282;158;0;19095
105;20200213225404;-19.797325;-44.012155;30476;0;5609;0;3;5243
105;20200213225550;-19.918088;-43.893261;40620;10;700;168;3;361
105;20200213225536;-19.946099;-43.984406;10504;32;59;194;2;19553
105;20200213225535;-19.871016;-44.010474;40467;0;872;0;0;10627
105;20200213225427;-19.863429;-43.927177;20430;2;847;281;1;11180
105;20200213225533;-19.990958;-44.014707;30718;41;238;244;1;40476
105;20200213225403;-19.920109;-43.996072;31015;0;660;0;0;6626
105;20200213225534;-19.843467;-43.967059;30590;0;5620;0;2;19347
105;20200213225534;-19.944273;-43.989715;31059;0;107;0;0;0
105;20200213225534;-19.831239;-43.914915;30383;16;3357;116;2;1084
105;20200213225405;-19.964033;-43.963665;40438;0;88;267
105;20200213225533;-19.917028;-43.974422;30750;13;1041;275;1;14442
105;20200213225535;-19.889451;-43.972693;10926;46;340;231;0;3512
105;20200213225235;-19.840522;-43.965168;10820;12;6842;229;1;12522
105;20200213225534;-19.909138;-43.915231;20371;18;639;243;1;4631
105;20200213225344;-19.868959;-44.014922;30654;0;4023;0;0;12367
105;20200213225532;-19.985065;-44.009262;30398;35;922;344;1;15126
105;20200213225535;-19.884460;-43.894687;20778;7;622;258;2;12545
105;20200213225545;-19.927603;-43.942213;20493;39;727;150;1;6336
105;20200213225536;-19.815891;-43.954195;10439;46;548;141;1;9585
105;20200213225537;-19.977226;-44.004873;30342;9;1057;197;1;3866
105;20200213225535;-19.824000;-43.975592;10462;15;6809;25;1;5089
105;20200213225404;-19.797677;-44.011647;10719;0;495;0
105;20200213225534;-19.919289;-43.888981;20748;0;614;0;0;2264
105;20200213225536;-19.994837;-44.006578;40366;14;915;175;1;3741
105;20200213225403;-19.852552;-43.927664;20512;0;4514;0;0;5016
105;20200213225534;-19.931166;-43.964824;20391;40;79;78;1;8168
105;20200213225536;-19.954838;-43.978644;30732;28;245;304;1;19567
105;20200213225303;-19.881083;-43.908398;20731;31;565;339;2;16141
105;20200213225534;-19.919674;-43.995490;30907;0;100;0;0;5257
105;20200213225535;-19.797384;-44.012257;10735;0;495;0;0;4916
105;20200213225326;-19.908020;-43.960188;40147;48;7121;95;1;10348
105;20200213225530;-19.869400;-44.014469;40539;0;6579;0;0;8671
105;20200213225538;-19.914509;-44.003771;30527;29;671;210;1;15831
105;20200213225533;-19.930453;-43.972314;30864;52;930;109;1;10126
105;20200213225531;-19.945250;-43.988844;30434;0;107;0;0;2513
105;20200213225533;-19.825158;-43.961349;10897;17;6866;198;1;13388
105;20200213225535;-19.941156;-43.924989;11135;51;4736;148;1;9057
105;20200213225404;-19.919156;-43.888947;20324;0;3382;0;0;2399
105;20200213225404;-20.002968;-44.025722;30881;0;238;200;0;2293
105;20200213225536;-19.851663;-43.927294;20902;0;72;0;0;4566
105;20200213225237;-19.926577;-43.988743;40522;0;402;0;2;2011
105;20200213225532;-19.823322;-43.932924;10940;29;813;340;1;6462
